ID	LABEL	Equivalent Class
DOID:9095	esophagus carcinoma in situ	'pre-malignant neoplasm' and ('disease has location' some esophagus)
DOID:9098	sebaceous gland disease	disease and ('disease has location' some 'sebaceous gland')
DOID:910	occipital lobe neoplasm	cancer and ('disease has location' some 'occipital lobe')
DOID:9108	uterus carcinoma in situ	'in situ carcinoma' and ('disease has location' some uterus)
DOID:913	atrophic muscular disease	'neuromuscular disease' and ('disease has location' some 'muscle tissue')
DOID:9132	liver carcinoma in situ	'in situ carcinoma' and ('disease has location' some liver)
DOID:9138	stomach carcinoma in situ	'in situ carcinoma' and ('disease has location' some stomach)
DOID:9149	hard palate cancer	cancer and ('disease has location' some 'hard palate')
DOID:9159	gas gangrene	'commensal bacterial infectious disease' and ('disease has location' some 'muscle tissue')
DOID:916	liver benign neoplasm	'benign neoplasm' and ('disease has location' some liver)
DOID:9173	submandibular gland cancer	cancer and ('disease has location' some 'submandibular gland')
DOID:9174	rectum carcinoma in situ	'in situ carcinoma' and ('disease has location' some rectum)
DOID:9234	kidney carcinoma in situ	'in situ carcinoma' and ('disease has location' some kidney)
DOID:9261	nasopharynx carcinoma	cancer and ('disease has location' some nasopharynx)
DOID:929	myopathy of extraocular muscle	myopathy and ('disease has location' some 'extra-ocular muscle')
DOID:9297	lip disease	disease and ('disease has location' some lip)
DOID:9299	myocardium cancer	cancer and ('disease has location' some myocardium)
DOID:930	orbital disease	disease and ('disease has location' some 'orbital region')
DOID:9310	nasal cavity benign neoplasm	'benign neoplasm' and ('disease has location' some 'nasal cavity')
DOID:934	viral infectious disease	disease and ('has material basis in' some Viruses)
DOID:936	brain disease	disease and ('disease has location' some brain)
DOID:9452	steatotic liver disease	'liver disease' and ('has phenotype' some 'Hepatic steatosis')
DOID:9460	uterine corpus cancer	cancer and ('disease has location' some 'body of uterus')
DOID:9462	cholesteatoma of external ear	cholesteatoma and ('disease has location' some 'external ear')
DOID:9500	leukocyte disease	disease and ('disease has location' some leukocyte)
DOID:9538	multiple myeloma	'myeloid neoplasm' and ('disease has location' some 'plasma cell')
DOID:9553	adrenal gland disease	disease and ('disease has location' some 'adrenal gland')
DOID:9561	nasopharyngeal disease	disease and ('disease has location' some nasopharynx)
DOID:961	neurofibroma of the esophagus	neurofibroma and ('disease has location' some esophagus)
DOID:9720	vitreous disease	disease and ('disease has location' some 'vitreous humor')
DOID:974	upper respiratory tract disease	disease and ('disease has location' some 'upper respiratory tract')
DOID:9741	biliary tract disease	disease and ('disease has location' some 'biliary tree')
DOID:9746	hemorrhoid	'vein disease' and ('disease has location' some anus) and ('disease has location' some 'perianal skin')
DOID:979	angioid streaks of choroid	'angioid streaks' and ('disease has location' some 'optic choroid')
DOID:980	choroidal sclerosis	'eye degenerative disease' and ('disease has location' some 'optic choroid')
DOID:9942	lymph node disease	disease and ('disease has location' some 'lymph node')
DOID:9988	tertiary neurosyphilis	'tertiary syphilis' and ('disease has location' some brain) and ('disease has location' some 'spinal cord')
DOID:9993	hypoglycemia	disease and ('has phenotype' some 'Abnormal blood glucose concentration')
